stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000003_016,西城就業改善センター入口,,36.200761,139.393502,000003_016,0
000003_017,森谷,,36.200475,139.386098,000003_017,0
000003_018,下奈良時花,,36.193476,139.387117,000003_018,0
000003_019,中妻団地前,,36.188924,139.385322,000003_019,0
000003_020,下奈良久保南,,36.188164,139.389109,000003_020,0
000003_021,四方寺農村広場,,36.187336,139.39387,000003_021,0
000003_022,荒宿農村広場,,36.189415,139.401005,000003_022,0
000003_023,観音寺入口,,36.187084,139.402737,000003_023,0
000003_024,中条中学校東,,36.177251,139.407654,000003_024,0
000003_025,スポーツ文化公園,,36.167591,139.406198,000003_025,0
000003_026,上川上自治会館前,,36.161602,139.405544,000003_026,0
000003_027,陸上競技場入口,,36.161603,139.415347,000003_027,0
000003_028,大塚,,36.167015,139.416433,000003_028,0
000003_029,下川上,,36.158372,139.420248,000003_029,0
000003_030,愛染堂前,,36.157741,139.423687,000003_030,0
000003_031,池上,,36.155519,139.4244,000003_031,0
000003_032,上之,,36.155208,139.419547,000003_032,0
000003_033,生協病院前,,36.150156,139.413684,000003_033,0
000003_034,上之荘,,36.146308,139.412648,000003_034,0
000003_035,源宗寺入口,,36.146106,139.408786,000003_035,0
000003_036,上之西,,36.146405,139.40531,000003_036,0
000003_037,銀座保育所北,,36.146727,139.39956,000003_037,0
000003_038,総合病院,,36.148479,139.396367,000003_038,0
000003_039,藤間病院前,,36.14423,139.394811,000003_039,0
000003_040,熊谷女子高校北,,36.145373,139.392631,000003_040,0
000003_041,市役所前,,36.146723,139.388904,000003_041,0
000003_042,裁判所前,,36.147367,139.385699,000003_042,0
000003_043,八木橋東,,36.14579,139.384352,000003_043,0
000004_002,八木橋東,,36.145812,139.384276,000004_002,0
000004_003,裁判所前,,36.147423,139.385872,000004_003,0
000004_005,熊谷女子高校北,,36.145539,139.392356,000004_005,0
000004_006,藤間病院前,,36.144282,139.394868,000004_006,0
000004_008,銀座保育所北,,36.146767,139.399562,000004_008,0
000004_009,上之西,,36.146455,139.405316,000004_009,0
000004_010,源宗寺入口,,36.146145,139.408789,000004_010,0
000004_011,上之荘,,36.146375,139.412785,000004_011,0
000004_012,生協病院前,,36.150143,139.413582,000004_012,0
000004_013,上之,,36.155259,139.419537,000004_013,0
000004_014,池上,,36.155579,139.424394,000004_014,0
000004_015,愛染堂前,,36.15761,139.423866,000004_015,0
000004_016,下川上,,36.158319,139.420229,000004_016,0
000004_017,大塚,,36.167023,139.416292,000004_017,0
000004_018,陸上競技場入口,,36.161539,139.415339,000004_018,0
000004_019,上川上自治会館前,,36.161555,139.405548,000004_019,0
000004_020,スポーツ文化公園,,36.167626,139.406093,000004_020,0
000004_021,中条中学校東,,36.17724,139.407605,000004_021,0
000004_022,観音寺入口,,36.187084,139.402647,000004_022,0
000004_023,荒宿農村広場,,36.189348,139.401018,000004_023,0
000004_024,四方寺農村広場,,36.187272,139.393873,000004_024,0
000004_025,下奈良久保南,,36.188091,139.389083,000004_025,0
000004_026,中妻団地前,,36.188888,139.385299,000004_026,0
000004_027,下奈良時花,,36.19354,139.387073,000004_027,0
000004_028,森谷,,36.200522,139.386108,000004_028,0
000004_029,西城就業改善センター入口,,36.200816,139.39352,000004_029,0
000004_030,日向団地,,36.197451,139.402959,000004_030,0
000004_031,日向上,,36.196217,139.407046,000004_031,0
000004_032,日向中,,36.195499,139.409703,000004_032,0
000004_033,葛和田橋南,,36.196862,139.414393,000004_033,0
000004_034,葛和田老人憩いの家,,36.201859,139.419096,000004_034,0
000004_035,西島,,36.206837,139.415634,000004_035,0
000004_036,弁財,,36.210278,139.407536,000004_036,0
000004_037,善ヶ島コミュニティセンター入口,,36.21616,139.40034,000004_037,0
000004_038,善ヶ島西部,,36.22067,139.394047,000004_038,0
000004_039,妻沼東中学校前,,36.222094,139.387086,000004_039,0
000004_040,妻沼中央公民館入口,,36.223083,139.382811,000004_040,0
000004_042,聖天山南入口,,36.227477,139.375036,000004_042,0
000004_043,登戸,,36.227802,139.37157,000004_043,0
000005_001,妻沼行政センター,,36.223383,139.368659,000005_001,0
000005_010,大野,,36.213946,139.410532,000005_010,0
000005_011,グライダー妻沼訓練所入口,,36.211445,139.412799,000005_011,0
000005_012,向野コミュニティセンター前,,36.2083,139.413133,000005_012,0
000005_014,荒宿,,36.201649,139.424557,000005_014,0
000005_015,俵瀬,,36.199804,139.42974,000005_015,0
000005_016,荻野吟子記念館前,,36.198847,139.433154,000005_016,0
000005_017,俵瀬,,36.199823,139.42956,000005_017,0
000005_018,荒宿,,36.201678,139.424331,000005_018,0
000005_021,日向下,,36.193758,139.41203,000005_021,0
000005_025,上須戸ハイツ,,36.208804,139.399615,000005_025,0
000005_026,武道館前,,36.209153,139.389721,000005_026,0
000005_027,西光院前,,36.203891,139.397367,000005_027,0
000005_030,田島,,36.201864,139.380215,000005_030,0
000005_031,西野,,36.202259,139.37466,000005_031,0
000005_032,妻沼南,,36.210744,139.36976,000005_032,0
000005_033,道の駅めぬま,,36.214811,139.368736,000005_033,0
000006_002,妻沼西中学校前,,36.225156,139.364194,000006_002,0
000006_003,五十石,,36.230436,139.359505,000006_003,0
000006_004,男沼小学校前,,36.233958,139.353757,000006_004,0
000006_005,出来島入口,,36.235098,139.34924,000006_005,0
000006_006,間々田,,36.234802,139.341146,000006_006,0
000006_007,あじさい寺（能護寺）,,36.231033,139.340258,000006_007,0
000006_008,永井太田,,36.22612,139.340032,000006_008,0
000006_009,太田郵便局,,36.222938,139.340642,000006_009,0
000006_010,前新田,,36.21979,139.342093,000006_010,0
000006_011,市ノ坪,,36.216252,139.343107,000006_011,0
000006_012,備前橋南,,36.221323,139.353431,000006_012,0
000006_013,八木田,,36.217162,139.364765,000006_013,0
000006_014,道ヶ谷戸,,36.210646,139.357003,000006_014,0
000006_015,飯塚,,36.21153,139.349802,000006_015,0
000006_016,市ノ坪南,,36.212928,139.342317,000006_016,0
000006_017,下増田,,36.206881,139.340228,000006_017,0
000006_018,別府荘,,36.195041,139.338796,000006_018,0
000006_019,別府沼公園,,36.194978,139.336299,000006_019,0
000006_020,JA別府玉井支店,,36.191364,139.336731,000006_020,0
000006_021,安楽寺入口,,36.18897,139.336007,000006_021,0
000006_022,別府中学校南,,36.185755,139.335328,000006_022,0
000006_023,別府第２公園,,36.182289,139.340013,000006_023,0
000006_024,別府一丁目,,36.180715,139.33338,000006_024,0
000006_025,籠原駅北口,,36.174759,139.330634,000006_025,0
000007_002,別府一丁目,,36.180804,139.333293,000007_002,0
000007_003,別府第２公園,,36.182302,139.339925,000007_003,0
000007_004,別府中学校南,,36.185782,139.335203,000007_004,0
000007_005,安楽寺入口,,36.188985,139.335878,000007_005,0
000007_006,JA別府玉井支店,,36.191392,139.336641,000007_006,0
000007_007,別府沼公園,,36.195054,139.336305,000007_007,0
000007_008,別府荘,,36.195104,139.338799,000007_008,0
000007_009,下増田,,36.206943,139.340131,000007_009,0
000007_010,市ノ坪南,,36.212978,139.342383,000007_010,0
000007_011,飯塚,,36.211594,139.349796,000007_011,0
000007_012,道ヶ谷戸,,36.2106,139.355929,000007_012,0
000007_014,備前橋南,,36.221267,139.353484,000007_014,0
000007_015,市ノ坪,,36.216192,139.34313,000007_015,0
000007_016,前新田,,36.219788,139.341999,000007_016,0
000007_017,太田郵便局,,36.222916,139.340537,000007_017,0
000007_018,永井太田,,36.226137,139.339948,000007_018,0
000007_019,あじさい寺（能護寺）,,36.231051,139.340142,000007_019,0
000007_020,間々田,,36.234864,139.34151,000007_020,0
000007_021,出来島入口,,36.235171,139.349238,000007_021,0
000007_022,男沼小学校前,,36.234118,139.353594,000007_022,0
000007_023,五十石,,36.230518,139.359503,000007_023,0
000007_024,妻沼西中学校前,,36.225184,139.364267,000007_024,0
000008_003,JAふれあいセンター,,36.166252,139.342037,000008_003,0
000008_004,久保島自治会館,,36.159316,139.344563,000008_004,0
000008_005,テニスコート入口,,36.156922,139.349391,000008_005,0
000008_007,小島土井尻,,36.155463,139.351792,000008_007,0
000008_008,熊谷工業高校入口,,36.15441,139.35452,000008_008,0
000008_009,広瀬北,,36.151627,139.36048,000008_009,0
000009_007,広瀬北,,36.151543,139.360366,000009_007,0
000009_008,熊谷工業高校入口,,36.154359,139.354474,000009_008,0
000009_009,小島土井尻,,36.155422,139.351766,000009_009,0
000009_011,テニスコート入口,,36.156831,139.34927,000009_011,0
000009_012,久保島自治会館,,36.159304,139.344494,000009_012,0
000009_013,JAふれあいセンター,,36.16617,139.342002,000009_013,0
000010_002,熊谷東中学校南,,36.144228,139.412825,000010_002,0
000010_003,戸出十字路,,36.138443,139.413349,000010_003,0
000010_004,ソシオ流通センター駅前,,36.136366,139.424432,000010_004,0
000010_005,組合会館前,,36.132174,139.42694,000010_005,0
000010_006,流通センター中央,,36.131564,139.424178,000010_006,0
000010_007,佐谷田前方,,36.130182,139.414907,000010_007,0
000010_008,太井公民館,,36.122163,139.424806,000010_008,0
000010_009,久下四丁目,,36.119558,139.43261,000010_009,0
000010_010,久下三丁目,,36.117744,139.430498,000010_010,0
000010_011,久下一丁目,,36.115868,139.427404,000010_011,0
000010_012,太井堂免,,36.117458,139.424891,000010_012,0
000010_013,太井,,36.118932,139.422611,000010_013,0
000010_014,久下公民館入口,,36.120992,139.418601,000010_014,0
000010_015,下久下,,36.121876,139.413169,000010_015,0
000010_016,上久下,,36.122689,139.407078,000010_016,0
000010_017,久下熊久,,36.125215,139.403681,000010_017,0
000010_018,熊久公園入口,,36.129392,139.400876,000010_018,0
000010_019,外科病院前,,36.131121,139.402191,000010_019,0
000010_020,ムサシトミヨ保護センター入口,,36.132061,139.396869,000010_020,0
000010_021,桜木公民館入口,,36.134056,139.39353,000010_021,0
000010_022,万平公園,,36.135291,139.390735,000010_022,0
000010_023,正田クリニック前,,36.136861,139.388578,000010_023,0
000011_002,正田クリニック前,,36.136884,139.388703,000011_002,0
000011_003,万平公園,,36.13539,139.390785,000011_003,0
000011_004,桜木公民館入口,,36.134111,139.393608,000011_004,0
000011_005,ムサシトミヨ保護センター入口,,36.13215,139.396854,000011_005,0
000011_007,熊久公園入口,,36.129434,139.400951,000011_007,0
000011_008,久下熊久,,36.125274,139.403698,000011_008,0
000011_009,上久下,,36.122736,139.407084,000011_009,0
000011_010,下久下,,36.121915,139.413242,000011_010,0
000011_011,久下公民館入口,,36.121047,139.41857,000011_011,0
000011_012,太井,,36.119007,139.422688,000011_012,0
000011_013,太井堂免,,36.117508,139.424974,000011_013,0
000011_014,久下一丁目,,36.115798,139.427444,000011_014,0
000011_015,久下三丁目,,36.117799,139.43047,000011_015,0
000011_016,久下四丁目,,36.119617,139.432533,000011_016,0
000011_018,佐谷田前方,,36.130298,139.414798,000011_018,0
000011_019,流通センター中央,,36.131766,139.424458,000011_019,0
000011_020,組合会館前,,36.131976,139.426773,000011_020,0
000011_022,戸出十字路,,36.138464,139.413264,000011_022,0
000011_023,熊谷東中学校南,,36.144072,139.412815,000011_023,0
000012_001,長島記念館前,,36.078567,139.437077,000012_001,0
000012_002,小八林境,,36.075557,139.430352,000012_002,0
000012_003,小八林原,,36.072709,139.424323,000012_003,0
000012_004,船木台大境公園前,,36.075332,139.419346,000012_004,0
000012_005,船木台中央公園前,,36.077957,139.415275,000012_005,0
000012_006,箕輪,,36.081931,139.412121,000012_006,0
000012_007,吉見小学校前,,36.088647,139.412159,000012_007,0
000012_008,相上,,36.090033,139.414979,000012_008,0
000012_009,玉作,,36.088967,139.422074,000012_009,0
000012_010,健康スポーツセンター前,,36.097588,139.427229,000012_010,0
000012_011,太陽の園入口,,36.096488,139.424373,000012_011,0
000012_012,津田,,36.103131,139.420155,000012_012,0
000012_013,津田新田,,36.104752,139.415304,000012_013,0
000012_014,大里行政センター前,,36.102429,139.410494,000012_014,0
000012_015,向谷,,36.098868,139.411325,000012_015,0
000012_016,高本,,36.099076,139.405469,000012_016,0
000012_017,吉所敷,,36.101734,139.403526,000012_017,0
000012_018,中曽根,,36.106396,139.400919,000012_018,0
000012_019,JA大里支店前,,36.108572,139.398947,000012_019,0
000012_020,市田小学校前,,36.110527,139.39839,000012_020,0
000012_021,替津田,,36.111675,139.391452,000012_021,0
000012_022,中恩田,,36.112809,139.387057,000012_022,0
000012_023,上恩田,,36.116729,139.382674,000012_023,0
000012_024,手島,,36.122022,139.38698,000012_024,0
000012_025,村岡東,,36.124916,139.383799,000012_025,0
000012_026,福島病院南,,36.138856,139.38162,000012_026,0
000013_002,福島病院南,,36.138795,139.381583,000013_002,0
000013_003,村岡東,,36.124956,139.383896,000013_003,0
000013_004,手島,,36.122045,139.387054,000013_004,0
000013_005,上恩田,,36.116753,139.382755,000013_005,0
000013_006,中恩田,,36.112869,139.38706,000013_006,0
000013_007,替津田,,36.111722,139.391525,000013_007,0
000013_008,市田小学校前,,36.110541,139.398462,000013_008,0
000013_009,JA大里支店前,,36.108579,139.399003,000013_009,0
000013_010,中曽根,,36.106381,139.401043,000013_010,0
000013_011,吉所敷,,36.10174,139.403593,000013_011,0
